URL Audit — polintel-feeds sources.yaml
Generated: 2026-03-26
Format: enabled  tier       status  name                                      url
yes  generic    ERR  Cicero/AMO                                https://cicero-group.com/careers/  [ConnectError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)]
yes  generic    200  Ellwood Atfield                           https://www.ellwoodatfield.com
yes  generic    200  NatCen Social Research                    https://natcen.ac.uk/careers -> https://natcen.ac.uk/work-for-us
yes  generic    200  Amnesty International UK                  https://www.amnesty.org.uk/jobs -> https://www.amnesty.org.uk/about/who-we-are/work-with-us/vacancies/
yes  generic    404  Oxfam GB                                  https://www.oxfam.org.uk/get-involved/work-for-oxfam/
yes  generic    404  Save the Children UK                      https://www.savethechildren.org.uk/about-us/jobs
yes  generic    200  ODI Fellowship                            https://odi.org/en/odi-fellowship-scheme/ -> https://odi.org/en/fellowship-scheme/
yes  generic    403  Chatham House Internships                 https://www.chathamhouse.org/academy/internships
yes  generic    404  CBI                                       https://www.cbi.org.uk/about-us/careers/
yes  generic    404  TUC                                       https://www.tuc.org.uk/about-tuc/tuc-vacancies
yes  generic    404  IoD                                       https://www.iod.com/about-us/careers/
yes  generic    404  FSB                                       https://www.fsb.org.uk/about-us/careers.html -> https://www.fsb.org.uk/about-us/careers
yes  generic    404  STUC                                      https://stuc.org.uk/about-stuc/vacancies -> https://www.stuc.org.uk/about-stuc/vacancies
yes  generic    200  PoliticsHome                              https://www.politicshome.com
